"1","news about the candidate for the next elections"
"2","news about organic food campaign"
"3","news of presidential campaign which will start next month"
"4","news of presidential campaign presidential candidate"
"5","news of organic food campaign campaign campaign campaign candidate" 
"6","news of candidate participating in elections"
"7","Myocardial ischemia  is a dangerous disease that leads to several complications" 
"8","Myocardial infarction commonly known as a heart attack, occurs when blood flow decreases"
"9","many people suffer from Anterior wall myocardial infarction"
"10","Inferior wall myocardial infarction  occurs when inferior myocardial tissue supplied by the right coronary artery"
"12","sport and healthy diet avoid us from Myocardial infarcts"
"14","Powerful open source technologies have arisen to deliver fast, feature-rich search"
"15","Powerfuls open technologies sources have arisen to deliver fast, feature-rich search(Apache Lucene) in a distributed, highly scalable way"
"17","Powerful open source technologies"
"18","Dynamic oracle training has shown substantial improvements for dependency parsing in various settings, but has notbeen explored for constituent parsing. The present article introduces a dynamic oracle for transition-based constituent pars-
ing. Experiments on the 9 languages
of the SPMRL dataset show that a neural greedy parser with morphological features, trained with a dynamic oracle"
"20","Experiments on the 9 languages of the SPMRL dataset show that a neural greedy parser with morphological features, trained with a dynamic oracle, leads to accuracies comparable with the best non-reranking and non-ensemble parsers."
"21","Dynamic oracles are non-deterministic oracles well-defined for any configuration."
"22","Although dynamic oracles are widely used in dependency parsing and available for moststandard transition systems (Goldberg and Nivre,2013; Goldberg et al., 2014; G ́omez-Rodr ́ıguez et al., 2014; Straka et al., 2015), no dynamic oracle"
"23","Our main contribution is the design of a dynamic oracle for transition based constituent parsing."
"24","We want to use Virtual Reality techniques for collaborative visualization of 3D scientific dataset"
"25","We want to use Virtual Reality techniques for collaborative visualization of 3D scientific datasets,to propose new ways to experts to explore and examine scientific datasets."
"11","Shock and cardiogenic to patients hospitalized with ST-elevation myocardial infarction"
"26","We want to use Virtual Reality techniques for collaborative visualization of 3D scientific datasets"
"27","The datasets used for this demonstration are 3D temperature isosurfaces or 3D temperature axial slice cuts, given at several simulation steps"
"28","Then the empirical evaluations on typical learning-to-rank methods are shown, with the LETOR collection as a benchmark dataset"
"29","The paper is concerned with learning to rank which is to construct a model or a function for ranking objects."
"30","Several methods for learning to rank"
"16","This has provided the powerful necessary infrastructure for almost any developer to build a “generally relevant” real-time search engine"
"19","Experiments on the 9 language of the SPMRL dataset show that a neural greedy parser with morphological features"
"13","Learning to rank for Information Retrieval (IR) is a task to automatically construct a ranking mode"
"31","task for automatic learning to rank models"
"32","Today’s architectures for intrusion detection force the
IDS designer to make a difficult choice. If the IDS resides on the host, it has an excellent view of what is happening in that host’s software, but is highly susceptible to attack. On the other hand,the IDS resides in the network"
"33","forcing the IDS designer for making difficult choice"
"34","This mechanism allows us to pull our IDS “outside” of the host it is monitoring"
"35","This article considers some classes of models dealing with the dynamics of discrete curves subjected to stochastic deformations."
"36","It turns out that the problems of interest can be set in terms of interacting exclusion processes, the ultimate goal being to derive hydrodynamic limits after proper scalings."
"37","A seemingly new method is proposed, which relies on the analysis of specific partial differential operators, involving variational calculus and functional integration"
"38","French researchers are required to frequently translate into French the description of their work published in English. At
the same time, the need for French people to access articles in English, or to international researchers to access theses or papers in French, is incorrectly resolved via the use of generic translation tools."
"39","to international researchers to access theses or papers in French, is incorrectly resolved via the use of generic translation tools."
"40","We propose the demonstration of an end-to-end tool integrated in the HAL open archive for enabling efficient translation for scientific texts"
"41","The CLEF-IP 2012 track included the Flowchart Recognition task, an image-based task where the goal was to process binary images of flowcharts"
"42","taken from patent drawings to produce summaries containing information about their structure"
"43","The textual
summaries include information about the flowchart title, the box-node shapes, the connecting edge types, text describing flowchart"
"44","We consider a finite mixture of Gaussian regression model for high-dimensional data, where
the number of covariates may be much larger than the sample"
"45","We consider a finite mixture of Gaussian regression model for high-dimensional data, where the number of covariates may be much larger than the sample size. We propose to estimate the unknown conditional mixture density by a maximum likelihood estimator, restricted on relevant variables selected by an l 1 -penalized maximum likelihood estimator"
"46","maximum likelihood estimator, restricted on relevant variables selected by an l 1 -penalized maximum likelihood estimator"
"47","We get an oracle inequality satisfied by this estimator with a Jensen-Kullback-Leibler type loss"
"48","This article outlines a proposal for a consistent encoding of stand-off annotations in the frame of
the TEI standard."
"49","This article outlines a proposal for a consistent encoding of stand-off annotations in the frame of the TEI standard. The proposed encoding requires the extension of the current TEI schema with three additional elements"
"50","directly related to the encoding of stand-off annotations that provide a generic and flexible structure for encoding stand-off annotations"
"51","Les Serious Game (SG) figurent, à ce jour, parmi les mesures non médicamenteuses au bénéfice des personnes
âgées, permettant de préserver une bonne santé dans des conditions ludiques, en effectuant des entraînements physiques et
cognitifs"
"52","permettant de préserver une bonne santé dans des conditions ludiques, en effectuant des entraînements physiques et
cognitifs"
"53","Néanmoins, la question de la motivation de ces utilisateurs particuliers reste encore à étudier. En effet, la plupart d’entre eux ne disposent pas préalablement d’une culture du jeu vidéo, ni d’une maîtrise des technologies récentes"
"54","In recommendation systems, one is interested in the ranking of the predicted items as opposed to other losses such as the mean squared error"
"55","here we focus on the Area Under the ROC Curve (AUC) as it widely used and has a strong theoretical underpinning"
"56","In practical recommendation, only items at the top of the ranked list are presented to the users. With this in mind, we propose a class of objective functions over matrix factorisations"
"57","We introduce in this paper D-SPACES, an implementation of constraint systems with space and extrusion operators"
"58","D-SPACES, an implementation of constraint systems with space and extrusion operators. Constraint systems are algebraic models that allow for a semantic language-like representation"
"59","We give this information mainly an epistemic interpretation and consider various agents as entities acting upon it. D-SPACES is
coded as a c++11 library providing"
