"organisation","1","441569","Centre National de la Recherche Scientifique","institution","http://www.cnrs.fr/","","","FR","","VALID"
"organisation","1","441569","CNRS","institution","http://www.cnrs.fr/","","","FR","","VALID"
"organisation","2","300009","Inria","institution","http://www.inria.fr/en/","Le Chesnay Cedex","","FR","Domaine de VoluceauRocquencourt-BP 10578153","VALID"
"organisation","2","300009","Institut National de Recherche en Informatique et en Automatique","institution","http://www.inria.fr/en/","Le Chesnay Cedex","","FR","Domaine de VoluceauRocquencourt-BP 10578153","VALID"
"organisation","8","189","ID-IMAG","laboratory","http://www-id.imag.fr","Montbonnot Saint Martin","","FR","ENSIMAG-antenne de Montbonnot ZIRST51, avenue Jean Kuntzmann-38 330","VALID"
"organisation","8","189","Informatique et Distribution","laboratory","http://www-id.imag.fr","Montbonnot Saint Martin","","FR","ENSIMAG-antenne de Montbonnot ZIRST51, avenue Jean Kuntzmann-38 330","VALID"
"organisation","9","6818","?cole normale sup?rieure - Lyon","institution","http://www.ens-lyon.eu/","Lyon Cedex 07","","FR","","VALID"
"organisation","9","6818","ENS Lyon","institution","http://www.ens-lyon.eu/","Lyon Cedex 07","","FR","","VALID"
"organisation","10","301088","Universit? de Lyon","institution","","","","FR","","VALID"
"organisation","11","194495","UCBL","institution","http://www.univ-lyon1.fr/","Villeurbanne cedex","","FR","43, boulevard du 11 novembre 1918","VALID"
"organisation","11","194495","Universit? Claude Bernard Lyon 1","institution","http://www.univ-lyon1.fr/","Villeurbanne cedex","","FR","43, boulevard du 11 novembre 1918","VALID"
"organisation","12","35418","Laboratoire de l'Informatique du Parall?lisme","laboratory","http://www.ens-lyon.fr/LIP/","LYON CEDEX 07","","FR","","VALID"
"organisation","12","35418","LIP","laboratory","http://www.ens-lyon.fr/LIP/","LYON CEDEX 07","","FR","","VALID"
"organisation","13","2497","Inria Grenoble - Rh?ne-Alpes","laboratory","http://www.inria.fr/centre/grenoble","","","FR","Inovalle655 avenue de l'Europe38330 Montbonnot","VALID"
"organisation","16","194","VERIMAG","laboratory","http://www-verimag.imag.fr","","","FR","Centre ?quation-2, avenue de Vignate-38610","VALID"
"organisation","16","194","VERIMAG - IMAG","laboratory","http://www-verimag.imag.fr","","","FR","Centre ?quation-2, avenue de Vignate-38610","VALID"
"organisation","19","217395","Universit? de Yaound? I [Yaound?]","institution","http://www.uy1.uninet.cm","","","CM","","VALID"
"organisation","20","26713","Ecole Nationale Sup?rieure Polytechnique [Yaound?]","laboratory","http://www.polytechcm.org/","","","CM","","VALID"
"organisation","20","26713","ENSP","laboratory","http://www.polytechcm.org/","","","CM","","VALID"
